,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
0,-69,-178.75,0.3007,0.3007,"(-69.5, -68.5, -179.375, -178.125)",-0.5218665718994824,1.0,0.0
1,-68,-178.75,0.4948,0.4948,"(-68.5, -67.5, -179.375, -178.125)",-0.30557030904291693,1.0,0.0
2,-67,-178.75,0.508,0.508,"(-67.5, -66.5, -179.375, -178.125)",-0.29413628771608075,1.0,0.0
3,-66,-178.75,0.2721999999999999,0.2721999999999999,"(-66.5, -65.5, -179.375, -178.125)",-0.5651118791326843,1.0,0.0
4,-65,-178.75,0.5902,0.5902,"(-65.5, -64.5, -179.375, -178.125)",-0.22900079483605934,1.0,0.0
5,-64,-178.75,0.9059,0.9059,"(-64.5, -63.5, -179.375, -178.125)",-0.042919740342100124,1.0,0.0
6,-63,-178.75,0.7548,0.7548,"(-63.5, -62.5, -179.375, -178.125)",-0.12216810850710622,1.0,0.0
7,-62,-178.75,0.6793,0.6793,"(-62.5, -61.5, -179.375, -178.125)",-0.16793838540927303,1.0,0.0
8,-61,-178.75,0.6607,0.6607,"(-61.5, -60.5, -179.375, -178.125)",-0.17999569319168213,1.0,0.0
9,-60,-178.75,0.3647,0.3647,"(-60.5, -59.5, -179.375, -178.125)",-0.43806423668621863,1.0,0.0
10,-59,-178.75,0.2687999999999999,0.2687999999999999,"(-59.5, -58.5, -179.375, -178.125)",-0.5705707356182126,1.0,0.0
11,-58,-178.75,0.2711,0.2711,"(-58.5, -57.5, -179.375, -178.125)",-0.5668704824195144,1.0,0.0
12,-57,-178.75,0.1472999999999999,0.1472999999999999,"(-57.5, -56.5, -179.375, -178.125)",-0.8317972531573694,1.0,0.0
13,-56,-178.75,0.0777999999999999,0.0777999999999999,"(-56.5, -55.5, -179.375, -178.125)",-1.1090204030103117,1.0,0.0
14,-55,-178.75,0.0439,0.0439,"(-55.5, -54.5, -179.375, -178.125)",-1.3575354797578787,1.0,0.0
15,-54,-178.75,0.0041999999999999,0.0041999999999999,"(-54.5, -53.5, -179.375, -178.125)",-2.37675070960211,1.0,0.0
16,-53,-178.75,0.0035999999999999,0.0035999999999999,"(-53.5, -52.5, -179.375, -178.125)",-2.4436974992327247,1.0,0.0
17,-52,-178.75,0.0303,0.0303,"(-52.5, -51.5, -179.375, -178.125)",-1.518557371497695,1.0,0.0
18,-51,-178.75,0.0803999999999999,0.0803999999999999,"(-51.5, -50.5, -179.375, -178.125)",-1.0947439512515493,1.0,0.0
19,-50,-178.75,0.1648999999999999,0.1648999999999999,"(-50.5, -49.5, -179.375, -178.125)",-0.7827793443554815,1.0,0.0
20,-49,-178.75,0.2167,0.2167,"(-49.5, -48.5, -179.375, -178.125)",-0.6641410886801821,1.0,0.0
21,-48,-178.75,0.2858999999999999,0.2858999999999999,"(-48.5, -47.5, -179.375, -178.125)",-0.5437858446420114,1.0,0.0
22,-47,-178.75,0.23,0.23,"(-47.5, -46.5, -179.375, -178.125)",-0.638272163982407,1.0,0.0
23,-46,-178.75,0.3064,0.3064,"(-46.5, -45.5, -179.375, -178.125)",-0.5137112390394336,1.0,0.0
24,-45,-178.75,0.3002,0.3002,"(-45.5, -44.5, -179.375, -178.125)",-0.5225893120927484,1.0,0.0
25,-44,-178.75,0.4156,0.4156,"(-44.5, -43.5, -179.375, -178.125)",-0.3813244611148602,1.0,0.0
26,-43,-178.75,0.7583999999999999,0.7583999999999999,"(-43.5, -42.5, -179.375, -178.125)",-0.12010167566999023,1.0,0.0
27,-42,-178.75,0.7586,0.7586,"(-42.5, -41.5, -179.375, -178.125)",-0.11998716163322821,1.0,0.0
28,-41,-178.75,0.7230999999999999,0.7230999999999999,"(-41.5, -40.5, -179.375, -178.125)",-0.14080163846612267,1.0,0.0
29,-40,-178.75,0.3870999999999999,0.3870999999999999,"(-40.5, -39.5, -179.375, -178.125)",-0.41217682868104505,1.0,0.0
30,-39,-178.75,0.1532,0.1532,"(-39.5, -38.5, -179.375, -178.125)",-0.8147412347034149,1.0,0.0
31,-38,-178.75,0.0231999999999999,0.0231999999999999,"(-38.5, -37.5, -179.375, -178.125)",-1.6345120151091022,1.0,0.0
32,-37,-178.75,0.0125,0.0125,"(-37.5, -36.5, -179.375, -178.125)",-1.9030899869919435,1.0,0.0
33,-36,-178.75,0.0669,0.0669,"(-36.5, -35.5, -179.375, -178.125)",-1.174573882232177,1.0,0.0
34,-35,-178.75,0.012,0.012,"(-35.5, -34.5, -179.375, -178.125)",-1.9208187539523751,1.0,0.0
35,-34,-178.75,0.0032,0.0032,"(-34.5, -33.5, -179.375, -178.125)",-2.494850021680094,1.0,0.0
36,-33,-178.75,0.0006999999999999,0.0006999999999999,"(-33.5, -32.5, -179.375, -178.125)",-3.1549019599858052,0.0006999999999999,6.0
37,-32,-178.75,0.0012999999999999,0.0012999999999999,"(-32.5, -31.5, -179.375, -178.125)",-2.886056647693197,1.0,7.0
38,-31,-178.75,0.0006999999999999,0.0006999999999999,"(-31.5, -30.5, -179.375, -178.125)",-3.1549019599858052,0.0006999999999999,21.0
39,-30,-178.75,0.0002999999999999,0.0002999999999999,"(-30.5, -29.5, -179.375, -178.125)",-3.522878745280482,0.0002999999999999,24.0
40,-29,-178.75,0.0,0.0,"(-29.5, -28.5, -179.375, -178.125)",-inf,0.0,24.0
41,-28,-178.75,0.0001,0.0001,"(-28.5, -27.5, -179.375, -178.125)",-4.0,0.0001,24.0
42,-27,-178.75,0.0,0.0,"(-27.5, -26.5, -179.375, -178.125)",-inf,0.0,24.0
43,-26,-178.75,0.0001,0.0001,"(-26.5, -25.5, -179.375, -178.125)",-4.0,0.0001,24.0
44,-25,-178.75,0.0001,0.0001,"(-25.5, -24.5, -179.375, -178.125)",-4.0,0.0001,24.0
45,-24,-178.75,0.0,0.0,"(-24.5, -23.5, -179.375, -178.125)",-inf,0.0,24.0
46,-23,-178.75,0.0,0.0,"(-23.5, -22.5, -179.375, -178.125)",-inf,0.0,24.0
47,-22,-178.75,0.0,0.0,"(-22.5, -21.5, -179.375, -178.125)",-inf,0.0,24.0
48,-21,-178.75,0.0,0.0,"(-21.5, -20.5, -179.375, -178.125)",-inf,0.0,24.0
49,-20,-178.75,0.0,0.0,"(-20.5, -19.5, -179.375, -178.125)",-inf,0.0,24.0
50,-19,-178.75,0.0,0.0,"(-19.5, -18.5, -179.375, -178.125)",-inf,0.0,24.0
51,-18,-178.75,0.0,0.0,"(-18.5, -17.5, -179.375, -178.125)",-inf,0.0,24.0
52,-17,-178.75,0.0,0.0,"(-17.5, -16.5, -179.375, -178.125)",-inf,0.0,24.0
53,-16,-178.75,0.0,0.0,"(-16.5, -15.5, -179.375, -178.125)",-inf,0.0,24.0
54,-15,-178.75,0.0,0.0,"(-15.5, -14.5, -179.375, -178.125)",-inf,0.0,24.0
55,-14,-178.75,0.0002999999999999,0.0002999999999999,"(-14.5, -13.5, -179.375, -178.125)",-3.522878745280482,0.0002999999999999,24.0
56,-13,-178.75,0.0054999999999999,0.0054999999999999,"(-13.5, -12.5, -179.375, -178.125)",-2.259637310505764,1.0,0.0
57,-12,-178.75,0.2482,0.2482,"(-12.5, -11.5, -179.375, -178.125)",-0.605198222837289,1.0,0.0
