lat,lng,pvalue,value
-69,-178.75,1,0
-68,-178.75,1,0
-67,-178.75,1,0
-66,-178.75,1,0
-65,-178.75,1,0
-64,-178.75,1,0
-63,-178.75,1,0
-62,-178.75,1,0
-61,-178.75,1,0
-60,-178.75,1,0
-59,-178.75,1,0
-58,-178.75,1,0
-57,-178.75,1,0
-56,-178.75,1,0
-55,-178.75,1,0
-54,-178.75,1,0
-53,-178.75,1,0
-52,-178.75,1,0
-51,-178.75,1,0
-50,-178.75,1,0
-49,-178.75,1,0
-48,-178.75,1,0
-47,-178.75,1,0
-46,-178.75,1,0
-45,-178.75,1,0
-44,-178.75,1,0
-43,-178.75,1,0
-42,-178.75,1,0
-41,-178.75,1,0
-40,-178.75,1,0
-39,-178.75,1,0
-38,-178.75,1,0
-37,-178.75,1,0
-36,-178.75,1,0
-35,-178.75,1,0
-34,-178.75,1,0
-33,-178.75,1,0
-32,-178.75,1,0
-31,-178.75,1,0
-30,-178.75,1,0
-29,-178.75,1,0
-28,-178.75,1,0
-27,-178.75,1,0
-26,-178.75,1,0
-25,-178.75,1,0
-24,-178.75,1,0
-23,-178.75,1,0
-22,-178.75,1,0
-21,-178.75,1,0
-20,-178.75,1,0
-19,-178.75,1,0
-18,-178.75,1,0
-17,-178.75,1,0
-16,-178.75,1,0
-15,-178.75,1,0
-14,-178.75,1,0
-13,-178.75,1,0
-12,-178.75,1,0
-11,-178.75,1,0
-10,-178.75,1,0
-9,-178.75,1,0
-8,-178.75,1,0
-7,-178.75,1,0
-6,-178.75,1,0
-5,-178.75,1,0
-4,-178.75,1,0
-3,-178.75,1,0
-2,-178.75,1,0
-1,-178.75,1,0
0,-178.75,1,0
1,-178.75,1,0
2,-178.75,1,0
3,-178.75,1,0
4,-178.75,1,0
5,-178.75,1,0
6,-178.75,1,0
7,-178.75,1,0
8,-178.75,1,0
9,-178.75,1,0
10,-178.75,1,0
11,-178.75,1,0
12,-178.75,1,0
13,-178.75,1,0
14,-178.75,1,0
15,-178.75,1,0
16,-178.75,1,0
17,-178.75,1,0
18,-178.75,1,0
19,-178.75,1,0
20,-178.75,1,0
21,-178.75,1,0
22,-178.75,1,0
23,-178.75,1,0
24,-178.75,1,0
25,-178.75,1,0
26,-178.75,1,0
27,-178.75,1,0
28,-178.75,1,0
29,-178.75,1,0
30,-178.75,1,0
31,-178.75,1,0
32,-178.75,1,0
33,-178.75,1,0
34,-178.75,1,0
35,-178.75,1,0
36,-178.75,1,0
37,-178.75,1,0
38,-178.75,1,0
39,-178.75,1,0
40,-178.75,1,0
41,-178.75,1,0
42,-178.75,1,0
43,-178.75,1,0
44,-178.75,1,0
45,-178.75,1,0
46,-178.75,1,0
47,-178.75,1,0
48,-178.75,1,0
49,-178.75,1,0
50,-178.75,1,0
51,-178.75,1,0
52,-178.75,1,0
53,-178.75,1,0
54,-178.75,1,0
55,-178.75,1,0
56,-178.75,1,0
57,-178.75,1,0
58,-178.75,1,0
59,-178.75,1,0
60,-178.75,1,0
61,-178.75,1,0
62,-178.75,1,0
63,-178.75,1,0
64,-178.75,1,0
65,-178.75,1,0
66,-178.75,1,0
