,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
0,-69,-178.75,1.0,0.0,"(-69.5, -68.5, -179.375, -178.125)",0.0,1.0,0.0
1,-68,-178.75,1.0,0.0,"(-68.5, -67.5, -179.375, -178.125)",0.0,1.0,0.0
2,-67,-178.75,1.0,0.0,"(-67.5, -66.5, -179.375, -178.125)",0.0,1.0,0.0
3,-66,-178.75,1.0,0.0,"(-66.5, -65.5, -179.375, -178.125)",0.0,1.0,0.0
4,-65,-178.75,1.0,0.0,"(-65.5, -64.5, -179.375, -178.125)",0.0,1.0,0.0
5,-64,-178.75,1.0,0.0,"(-64.5, -63.5, -179.375, -178.125)",0.0,1.0,0.0
6,-63,-178.75,1.0,0.0,"(-63.5, -62.5, -179.375, -178.125)",0.0,1.0,0.0
7,-62,-178.75,1.0,0.0,"(-62.5, -61.5, -179.375, -178.125)",0.0,1.0,0.0
8,-61,-178.75,1.0,0.0,"(-61.5, -60.5, -179.375, -178.125)",0.0,1.0,0.0
9,-60,-178.75,1.0,0.0,"(-60.5, -59.5, -179.375, -178.125)",0.0,1.0,0.0
10,-59,-178.75,1.0,0.0,"(-59.5, -58.5, -179.375, -178.125)",0.0,1.0,0.0
11,-58,-178.75,1.0,0.0,"(-58.5, -57.5, -179.375, -178.125)",0.0,1.0,0.0
12,-57,-178.75,1.0,0.0,"(-57.5, -56.5, -179.375, -178.125)",0.0,1.0,0.0
13,-56,-178.75,1.0,0.0,"(-56.5, -55.5, -179.375, -178.125)",0.0,1.0,0.0
14,-55,-178.75,1.0,0.0,"(-55.5, -54.5, -179.375, -178.125)",0.0,1.0,0.0
15,-54,-178.75,1.0,0.0,"(-54.5, -53.5, -179.375, -178.125)",0.0,1.0,0.0
16,-53,-178.75,1.0,0.0,"(-53.5, -52.5, -179.375, -178.125)",0.0,1.0,0.0
17,-52,-178.75,1.0,0.0,"(-52.5, -51.5, -179.375, -178.125)",0.0,1.0,0.0
18,-51,-178.75,1.0,0.0,"(-51.5, -50.5, -179.375, -178.125)",0.0,1.0,0.0
19,-50,-178.75,1.0,0.0,"(-50.5, -49.5, -179.375, -178.125)",0.0,1.0,0.0
20,-49,-178.75,1.0,0.0,"(-49.5, -48.5, -179.375, -178.125)",0.0,1.0,0.0
